OBJECTID,SA1_CODE,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040
2000160,,2,2,2,2,2,2,2,2,2,2,2
2000161,,2,2,2,2,2,2,2,2,2,2,2
2000164,,2,2,2,2,2,2,2,2,2,2,2
2000165,,2,2,2,2,2,2,2,2,2,2,2
2000166,,2,2,2,2,2,2,2,2,2,2,2
2000167,,2,2,2,2,2,2,2,2,2,2,2
2000168,,2,2,2,2,2,2,2,2,2,2,2
2000169,,2,2,2,2,2,2,2,2,2,2,2
2000170,,2,2,2,2,2,2,2,2,2,2,2
2000171,,2,2,2,2,2,2,2,2,2,2,2
2000173,,2,2,2,2,2,2,2,2,2,2,2
2000174,,2,2,2,2,2,2,2,2,2,2,2
2000175,,2,2,2,2,2,2,2,2,2,2,2
2000176,,2,2,2,2,2,2,2,2,2,2,2
2000183,,2,2,2,2,2,2,2,2,2,2,2
2000185,,2,2,2,2,2,2,2,2,2,2,2
2000193,,2,2,2,2,2,2,2,2,2,2,2
2000377,,2,2,2,2,2,2,2,2,2,2,2
2000378,,2,2,2,2,2,2,2,2,2,2,2
2000379,,2,2,2,2,2,2,2,2,2,2,2
2000380,,2,2,2,2,2,2,2,2,2,2,2
2000381,,2,2,2,2,2,2,2,2,2,2,2
2000383,,2,2,2,2,2,2,2,2,2,2,2
2000385,,2,2,2,2,2,2,2,2,2,2,2
2000386,,2,2,2,2,2,2,2,2,2,2,2
2000388,,2,2,2,2,2,2,2,2,2,2,2
2000389,,2,2,2,2,2,2,2,2,2,2,2
2000390,,2,2,2,2,2,2,2,2,2,2,2
2000391,,2,2,2,2,2,2,2,2,2,2,2
2000392,,2,2,2,2,2,2,2,2,2,2,2
2000393,,2,2,2,2,2,2,2,2,2,2,2
2000394,,2,2,2,2,2,2,2,2,2,2,2
2000395,,2,2,2,2,2,2,2,2,2,2,2
2000396,,2,2,2,2,2,2,2,2,2,2,2
2000397,,2,2,2,2,2,2,2,2,2,2,2
2000398,,2,2,2,2,2,2,2,2,2,2,2
2000399,,2,2,2,2,2,2,2,2,2,2,2
2000400,,2,2,2,2,2,2,2,2,2,2,2
2000401,,2,2,2,2,2,2,2,2,2,2,2
2000402,,2,2,2,2,2,2,2,2,2,2,2
2000403,,2,2,2,2,2,2,2,2,2,2,2
2000404,,2,2,2,2,2,2,2,2,2,2,2
2000405,,2,2,2,2,2,2,2,2,2,2,2
2000406,,2,2,2,2,2,2,2,2,2,2,2
2000466,,2,2,2,2,2,2,2,2,2,2,2
2000492,,2,2,2,2,2,2,2,2,2,2,2
3000167,,2,2,2,2,2,2,2,2,2,2,2
3000399,,2,2,2,2,2,2,2,2,2,2,2
3000185,,2,2,2,2,2,2,2,2,2,2,2
3000193,,2,2,2,2,2,2,2,2,2,2,2
3000492,,2,2,2,2,2,2,2,2,2,2,2
3000466,,2,2,2,2,2,2,2,2,2,2,2
4000467,,3,3,3,3,3,3,3,3,3,3,3
4000468,,3,3,3,3,3,3,3,3,3,3,3
4000469,,3,3,3,3,3,3,3,3,3,3,3
4000470,,3,3,3,3,3,3,3,3,3,3,3
4000471,,3,3,3,3,3,3,3,3,3,3,3
4000472,,3,3,3,3,3,3,3,3,3,3,3
4000473,,3,3,3,3,3,3,3,3,3,3,3
